Sequence, Start Point, Lat , Long , End Point, Lat, Long, Distance(mtr)
258,572(97951),51.443817,-0.166747,339(cad0c),51.445662,-0.148556,1277.298962433574
259,339(cad0c),51.445662,-0.148556,496(9be80),51.443638,-0.152494,353.74749331422555
260,496(9be80),51.443638,-0.152494,524(0c7b9),51.453122,-0.142036,1279.5910266130206
261,524(0c7b9),51.453122,-0.142036,430(f068b),51.454757,-0.142531,185.01078737985242
262,430(f068b),51.454757,-0.142531,51(98adb),51.462029,-0.137787,872.8579118547401
263,51(98adb),51.462029,-0.137787,177(31fc0),51.462029,-0.137787,0.0
264,177(31fc0),51.462029,-0.137787,4(0e16a),51.46327,-0.134987,238.052040801969
265,4(0e16a),51.46327,-0.134987,239(5042a),51.464088,-0.136062,117.55522555667702
266,239(5042a),51.464088,-0.136062,67(c2856),51.475576,-0.138028,1284.6453856815456
267,67(c2856),51.475576,-0.138028,464(9410e),51.481028,-0.143293,707.4374605900306
268,464(9410e),51.481028,-0.143293,113(dc716),51.47597,-0.152167,833.063672752665
269,113(dc716),51.47597,-0.152167,76(c232d),51.473158,-0.168955,1204.0309756740642
270,76(c232d),51.473158,-0.168955,180(22e22),51.468986,-0.167855,470.12031404522514
271,180(22e22),51.468986,-0.167855,555(395c9),51.462958,-0.169349,678.2256536845
272,555(395c9),51.462958,-0.169349,170(22e48),51.46891,-0.173905,733.231090655085
273,170(22e48),51.46891,-0.173905,10(f5d8a),51.456633,-0.195253,2012.666808182427
274,10(f5d8a),51.456633,-0.195253,66(ceae0),51.44936,-0.215976,1648.0102107652804
275,66(ceae0),51.44936,-0.215976,110(7a813),51.44431,-0.21682,564.5723719654459
276,110(7a813),51.44431,-0.21682,369(1a8db),51.459749,-0.198469,2136.3897304737957
277,369(1a8db),51.459749,-0.198469,563(15c85),51.475383,-0.185383,1960.5574189999452
278,563(15c85),51.475383,-0.185383,225(4dd65),51.47611,-0.198156,888.3094150850058
279,225(4dd65),51.47611,-0.198156,420(ccae0),51.482585,-0.177824,1581.4313255259913
280,420(ccae0),51.482585,-0.177824,357(4b986),51.490506,-0.185834,1040.8494388540873
281,357(4b986),51.490506,-0.185834,337(aa7ba),51.489064,-0.191437,419.76062072920547
282,337(aa7ba),51.489064,-0.191437,148(e924d),51.487984,-0.194289,231.11630375661045
283,148(e924d),51.487984,-0.194289,27(7ac7b),51.485038,-0.203292,704.2065417265728
284,27(7ac7b),51.485038,-0.203292,442(3f894),51.490054,-0.204348,562.5258328972642
285,442(3f894),51.490054,-0.204348,154(5f5b4),51.489693,-0.220797,1139.5676825486037
286,154(5f5b4),51.489693,-0.220797,20(31a00),51.480916,-0.23688,1480.7664921293187
287,20(31a00),51.480916,-0.23688,390(95ba0),51.503176,-0.219826,2742.379199054995
288,390(95ba0),51.503176,-0.219826,216(1a5df),51.507942,-0.23052,910.3182870699759
289,216(1a5df),51.507942,-0.23052,388(e269e),51.504937,-0.233993,411.61531292631173
290,388(e269e),51.504937,-0.233993,378(2cc86),51.514824,-0.241494,1215.7800247392602
291,378(2cc86),51.514824,-0.241494,37(d102d),51.509398,-0.250869,885.9601387938128
292,37(d102d),51.509398,-0.250869,316(4cf86),51.514506,-0.268458,1343.1977209250847
293,316(4cf86),51.514506,-0.268458,333(bc3a7),51.508399,-0.272681,739.2830655259352
294,333(bc3a7),51.508399,-0.272681,412(f5094),51.504266,-0.279652,666.3178748820949
295,412(f5094),51.504266,-0.279652,198(09a87),51.46613,-0.276595,4245.809571504906
296,198(09a87),51.46613,-0.276595,16(26d4a),51.488386,-0.286444,2567.033109809995
297,16(26d4a),51.488386,-0.286444,277(7b357),51.500377,-0.297794,1547.6410934586766
298,277(7b357),51.500377,-0.297794,259(0f199),51.510896,-0.31948,1902.8642420777483
299,259(0f199),51.510896,-0.31948,14(97f15),51.516965,-0.316302,709.770754091457
300,14(97f15),51.516965,-0.316302,320(4afb3),51.509932,-0.325683,1016.3626372064276
301,320(4afb3),51.509932,-0.325683,370(b8962),51.507893,-0.346076,1429.4323697012517
302,370(b8962),51.507893,-0.346076,328(d0993),51.506716,-0.351075,369.90428911648837
